,固定式交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,单位：北京市公安局公安交通管理局,,,时间：2014.12.30,,
1,序号,区县,名称,检测、行驶方向,相交道路,
2,1,朝阳,五环路13.8公里处,内环,五环路,
3,2,朝阳,五环路21.1公里处,外环,五环路,
4,3,朝阳,新华保险大厦南门,东向西,永安西里,
5,4,朝阳,一一九中学门前,东向西,永安西里,
6,5,朝阳,朝阳公园凤凰国际路口,北向南,朝阳公园路,
7,6,朝阳,朝阳公园凤凰国际路口,南向北,朝阳公园路,
8,7,机场,一号航站楼到达层（1）,全方位,一号航站楼到达层,
9,8,机场,一号航站楼到达层（2）,全方位,一号航站楼到达层,
10,9,机场,一号航站楼到达层（3）,全方位,一号航站楼到达层,
11,10,机场,一号航站楼到达层（4）,全方位,一号航站楼到达层,
12,11,机场,一号航站楼出发层（1）,全方位,一号航站楼出发层,
13,12,机场,一号航站楼出发层（2）,全方位,一号航站楼出发层,
14,13,机场,一号航站楼出发层（3）,全方位,一号航站楼出发层,
15,14,机场,一号航站楼出发层（4）,全方位,一号航站楼出发层,
16,15,机场,二号航站楼出发层（1）,全方位,二号航站楼出发层,
17,16,机场,二号航站楼出发层（2）,全方位,二号航站楼出发层,
18,17,机场,二号航站楼出发层（3）,全方位,二号航站楼出发层,
19,18,机场,二号航站楼出发层（4）,全方位,二号航站楼出发层,
20,19,机场,二号航站楼出发层（5）,全方位,二号航站楼出发层,
21,20,机场,二号航站楼出发层（6）,全方位,二号航站楼出发层,
22,21,机场,二号航站楼出发层（7）,全方位,二号航站楼出发层,
23,22,机场,二号航站楼出发层（8）,全方位,二号航站楼出发层,
24,23,机场,二号航站楼出发层（9）,全方位,二号航站楼出发层,
25,24,机场,二号航站楼出发层（10）,全方位,二号航站楼出发层,
26,25,机场,二号航站楼出发层（11）,全方位,二号航站楼出发层,
27,26,机场,二号航站楼出发层（12）,全方位,二号航站楼出发层,
28,27,机场,三号航站楼出发层（1）,全方位,三号航站楼出发层,
29,28,机场,三号航站楼出发层（2）,全方位,三号航站楼出发层,
30,29,机场,三号航站楼出发层（3）,全方位,三号航站楼出发层,
31,30,机场,三号航站楼出发层（4）,全方位,三号航站楼出发层,
32,31,机场,三号航站楼出发层（5）,全方位,三号航站楼出发层,
33,32,机场,三号航站楼出发层（6）,全方位,三号航站楼出发层,
34,33,机场,三号航站楼出发层（7）,全方位,三号航站楼出发层,
35,34,机场,三号航站楼出发层（8）,全方位,三号航站楼出发层,
