,交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,序号,区县,名称,检测、行驶方向,相交道路,,,系统
1,1,东城,北极阁头条中段,全方向,北极阁头条,,,自建电视
2,2,东城,北京站三角地东南角,全方向,北京站西街,,,自建电视
3,3,东城,北京站西街世纪华联,全方向,北京站西街,,,自建电视
4,4,东城,北京站西街货场口,全方向,北京站西街,,,自建电视
5,5,东城,安德里停车场路口,全方向,北京站东街,,,自建电视
6,6,东城,大羊毛胡同南口,全方向,大羊毛胡同,北京站东街,,自建电视
7,7,东城,大羊毛胡同中段,全方向,大羊毛胡同,,,自建电视
8,8,东城,恒基夹道南口路东,全方向,北京站东街,,,自建电视
9,9,东城,恒基夹道中段,全方向,恒基夹道,,,自建电视
10,10,东城,邮通街南口,全方向,北京站西街,,,自建电视
11,11,东城,礼士胡同西口,全方向,东四南大街,,,自建电视
12,12,东城,演乐胡同西口,全方向,东四南大街,,,自建电视
13,13,东城,史家胡同西口,全方向,东四南大街,,,自建电视
14,14,东城,本司胡同西口对面,全方向,东四南大街,,,自建电视
15,15,东城,干面胡同西口,全方向,东四北大街,,,自建电视
16,16,东城,东四十条东来顺门前,全方向,东四十条,,,自建电视
17,17,东城,陆军总医院北门,全方向,东四十条,,,自建电视
18,18,东城,东四二条西口,全方向,东四北大街,,,自建电视
19,19,东城,东四四条西口,全方向,东四北大街,,,自建电视
20,20,东城,东四七条西口,全方向,东四北大街,,,自建电视
21,21,东城,青蓝大厦门前,全方向,东四十条,,,自建电视
22,22,东城,东兴隆街中段,全方向,东兴隆街,,,自建电视
23,23,东城,东直门内大街288门前,全方向,东直门内大街,,,自建电视
24,24,东城,东直门内大街260号门前,全方向,东直门内大街,,,自建电视
25,25,东城,北新桥房管所对面,全方向,东直门内大街,,,自建电视
26,26,东城,东直门内大街152-3号门前,全方向,东直门内大街,,,自建电视
27,27,东城,东直门内大街14-5号门前,全方向,东直门内大街,,,自建电视
28,28,东城,东直门内大街8-3号门前,全方向,东直门内大街,,,自建电视
29,29,东城,东直门内大街5-13号门前,全方向,东直门内大街,,,自建电视
30,30,东城,东直门内大街193号门前,全方向,东直门内大街,,,自建电视
31,31,东城,东直门内大街15-4号门前,全方向,东直门内大街,,,自建电视
32,32,东城,建设综合勘察研究设计院,全方向,东直门内大街,,,自建电视
33,33,东城,东直门内大街221号门前,全方向,东直门内大街,,,自建电视
34,34,东城,东直门内大街267-2号门前,全方向,东直门内大街,,,自建电视
35,35,东城,安定门桥东北角,全方向,安定门内大街,安定门东大街,,自建电视
36,36,东城,和平里中街西口,全方向,和平里中街,,,自建电视
37,37,东城,和平里中街邮局门口,全方向,和平里中街,,,自建电视
38,38,东城,安定门桥东南角环岛内,全方向,安定门内大街,五道营胡同,,自建电视
39,39,东城,东四北大街50号门前,全方向,东四北大街,,,自建电视
40,40,东城,府学胡同东口,全方向,东四北大街,,,自建电视
41,41,东城,香饵胡同西口,全方向,交道口南大街,,,自建电视
42,42,东城,后圆恩寺东口,全方向,交道口南大街,,,自建电视
43,43,东城,秦老胡同东口,全方向,交道口南大街,,,自建电视
44,44,东城,香饵胡同东口,全方向,东四北大街,,,自建电视
45,45,东城,南锣地铁东北口,全方向,地安门东大街,,,自建电视
46,46,东城,地安门东北侧公交车站,全方向,地安门东大街,,,自建电视
47,47,东城,东不压桥胡同南口对面,全方向,地安门东大街,,,自建电视
48,48,东城,地安门路口东南角,全方向,地安门东大街,,,自建电视
49,49,东城,地安门东南侧公交车站,全方向,地安门东大街,,,自建电视
50,50,东城,左安门内大街北口,全方向,左安门内大街,,,自建电视
51,51,东城,宽街路口建设银行,全方向,美术馆后街,,,自建电视
52,52,东城,中医院门口,全方向,美术馆后街,,,自建电视
53,53,东城,景山东街公交车站,全方向,景山东街,,,自建电视
54,54,东城,美术馆后街北侧,全方向,美术馆后街,,,自建电视
55,55,东城,景山街道门前,全方向,美术馆东街,,,自建电视
56,56,东城,隆福医院门口,全方向,美术馆东街,,,自建电视
57,57,东城,协和医院北门,全方向,煤渣胡同,,,自建电视
58,58,东城,煤渣胡同口,全方向,校尉胡同,,,自建电视
59,59,东城,协和医院南门,全方向,东单三条,,,自建电视
60,60,东城,校尉胡同南口,全方向,校尉胡同,,,自建电视
61,61,东城,协和医院西门,全方向,校尉胡同,,,自建电视
62,62,东城,北湾子胡同西口,全方向,南池子大街,,,自建电视
63,63,东城,北池子三条西口,全方向,北池子大街,,,自建电视
64,64,东城,王府井西街中段,全方向,王府井西街,,,自建电视
65,65,东城,大甜水井东口,全方向,晨光街,大甜水井胡同,,自建电视
66,66,东城,北京饭店后门,全方向,霞公府街,,,自建电视
67,67,东城,东华门大街中国银行门口,全方向,东华门大街,,,自建电视
68,68,东城,大阮府胡同西口,全方向,南河沿大街,,,自建电视
69,69,东城,煤渣胡同东口,全方向,东四南大街,,,自建电视
70,70,东城,大阮府胡同东口,全方向,王府井西街,,,自建电视
71,71,东城,景山前街14号对面,全方向,景山前街,,,自建电视
72,72,东城,同仁医院南门,全方向,东交民巷,,,自建电视
73,73,西城,新文化街东口 ,东向西,新文化街,宣武门内大街,,局建迁移-BT
74,74,西城,三里河南六巷南口,南向北,复兴门外大街,三里河南六巷,,局建迁移-BT
75,75,西城,三里河南七巷北口,北向南,三里河南横街,三里河南七巷,,局建迁移-BT
76,76,西城,阜成门南顺城街金城坊西街西口 ,北向南,金城坊西街,阜成门南顺城街,,局建迁移-BT
77,77,西城,故宫北门,全方位,景山前街,,,自建固定式
78,78,西城,北海北门,全方位,前海西街,地安门西大街,,自建固定式
79,79,西城,儿童医院东门,全方位,复兴门北大街,,,局建迁移
80,80,通州,通燕高速北皇木厂西桥南口西南角,全方向,通燕高速辅路,,,自建固定式
81,81,通州,通燕高速北关出口东侧,全方向,通燕高速辅路,,,自建固定式
82,82,通州,通燕高速北关出口西侧,全方向,通燕高速辅路,,,自建固定式
83,83,通州,通燕高速北关入口东侧,全方向,通燕高速辅路,,,自建固定式
84,84,通州,通燕高速北关入口西侧,全方向,通燕高速辅路,,,自建固定式
85,85,通州,通燕高速北皇木厂西桥南口西北角,全方向,通燕高速辅路,,,自建固定式
86,86,通州,通燕高速北皇木厂东桥北口西北角,全方向,通燕高速辅路,,,自建固定式
87,87,通州,通燕高速北皇木厂东桥南口西南角,全方向,通燕高速辅路,,,自建固定式
88,88,房山,化工四厂路口, 东向西,顾八路,京周路,,局建迁移
89,89,房山,化工四厂路口, 西向东,顾八路,京周路,,局建迁移
90,90,丰台,右安路南口,西向东,右安路/黄陈路,丰台南路/南苑西路,,局建迁移
91,91,丰台,花乡桥南人行灯岗,北向南,樊羊路,,,局建迁移
92,92,海淀,双榆树一街东口 ,东向西,双榆树一街,,,局建迁移
93,93,海淀,沙阳路永泰庄, 东向西,沙阳路,,,局建迁移
94,94,海淀,沙阳路永泰庄 ,西向东,沙阳路,,,局建迁移
95,95,石景山,金顶南路金顶南路东口西 ,西向东,金顶南路,,,局建迁移-BT
96,96,石景山,古城南路与古城小街交叉口 ,南向北,古城南路,古城小街,,局建迁移
97,97,石景山,麻峪东街南段 ,东向西,麻峪东街,,,局建迁移
98,98,亦庄,天宝北街与科慧大道交叉口,西向东,博兴六路,凉水河一街,,局建迁移
99,99,亦庄,经海路与科创街交叉路口,北向南,博兴三路,凉水河一街,,局建迁移
100,100,亦庄,经海路与科创街交叉路口,南向北,天宝西路,荣京西街,,局建迁移
101,101,亦庄,凉水河一街与博兴六路丁字路口,东向西,科慧大道,天宝北街,,局建迁移
102,102,亦庄,凉水河一街与博兴六路丁字路口,西向东,经海路,科创街,,局建迁移
103,103,亦庄,博兴三路与凉水河一街路口,南向北,经海路,科创街,,局建迁移
104,104,亦庄,博兴三路与凉水河一街路口,西向东,博兴六路,凉水河一街,,局建迁移
105,105,亦庄,经海路与科创五街交叉路口,南向北,博兴三路,凉水河一街,,局建迁移
106,106,亦庄,荣京西街与天宝西路交叉路口,东向西,经海路,科创五街,,局建迁移
107,107,亦庄,荣京西街与天宝西路交叉路口,西向东,天宝西路,荣京西街,,局建迁移
108,108,朝阳,北京第一机床厂西150M通惠河北路,全方向,通惠河北路,,,自建电视
109,109,朝阳,东外斜街口至体育场南路东口段,全方向,工人体育场南路,,,自建电视
110,110,朝阳,朝阳北路国安宾馆北口,全方向,朝阳北路,,,自建电视
111,111,朝阳,朝阳南街（朝阳南街西口至朝阳南街东口段）,全方向,朝阳南街,,,自建电视
112,112,朝阳,东三环通惠河北路西150M路北,全方向,通惠河北路,,,自建电视
113,113,朝阳,东三环通惠河北路西380M,全方向,通惠河北路,,,自建电视
114,114,朝阳,工体南路沿工体西路向北130M路西,全方向,工人体育场南路,,,自建电视
115,115,朝阳,工体南路沿工体西路向北190M路东,全方向,工人体育场南路,,,自建电视
116,116,朝阳,工体南路沿工体西路向北250M路西,全方向,工人体育场南路,,,自建电视
117,117,朝阳,工体南路沿工体西路向北90M路东,全方向,工人体育场南路,,,自建电视
118,118,朝阳,光华桥东南角,全方向,东三环中路,光华路,,自建电视
119,119,朝阳,国贸桥东北角,全方向,建国路,,,自建电视
120,120,朝阳,国贸桥南150M路东,全方向,东三环中路,,,自建电视
121,121,朝阳,国贸桥西200M路南,全方向,建外大街,,,自建电视
122,122,朝阳,国贸桥西南角,全方向,东三环中路,建外大街,,自建电视
123,123,朝阳,光华路和东三环交叉口西北角,全方向,光华路,,,自建电视
124,124,朝阳,光华路和金桐东路交叉口东北角,全方向,光华路,,,自建电视
125,125,朝阳,景华南街和金桐东路交叉口东北角,全方向,景华南街,,,自建电视
126,126,朝阳,景华南街和金桐东路交叉口向东180m,全方向,景华南街,,,自建电视
127,127,朝阳,东三环与景华南街交叉口西北角,全方向,景华南街,,,自建电视
128,128,朝阳,光华路和金桐东路交叉口北30m,全方向,金桐东路,景华南街,,自建电视
129,129,朝阳,建国门外大街大北窑一号路东南角,全方向,建外大街,,,自建电视
130,130,朝阳,建国门外大街建华路西140M路南,全方向,建外大街,,,自建电视
131,131,朝阳,建国门外大街与日坛路东南角,全方向,建外大街,,,自建电视
132,132,朝阳,建国门外大街与日坛路西南角,全方向,建外大街,,,自建电视
133,133,朝阳,京朝东三环艾维克大厦西,全方向,东三环中路,,,自建电视
134,134,朝阳,京朝东三环与通惠河北路往北210米路,全方向,东三环中路,,,自建电视
135,135,朝阳,中央电视台北门,全方向,朝阳路,,,自建电视
136,136,朝阳,京朝国贸桥东南角,全方向,建国路,,,自建电视
137,137,朝阳,京朝建国门外秀水东街西北角,全方向,建外大街,,,自建电视
138,138,朝阳,京朝京广桥东南角地铁金台夕照C口 ,全方向,东三环中路,,,自建电视
139,139,朝阳,景辉南街和针织路交叉口东70m,全方向,景辉南街,,,自建电视
140,140,朝阳,建国路和针织路路口北80m,全方向,针织路,,,自建电视
141,141,朝阳,中服大厦西北角国贸桥旁,全方向,东三环中路,,,自建电视
142,142,朝阳,京朝建国路辅路南侧大望桥路口东50米,全方向,建国路,,,自建电视
143,143,朝阳,南三里屯路北口,全方向,三里屯南路,,,自建电视
144,144,朝阳,凯富大厦西侧,全方向,工体北路,,,自建电视
145,145,朝阳,凯富东路口,全方向,工体北路,,,自建电视
146,146,朝阳,工体邮局东口,全方向,工体北路,,,自建电视
147,147,朝阳,太平洋健身,全方向,工体北路,,,自建电视
148,148,朝阳,工体北路民生银行,全方向,工体北路,,,自建电视
149,149,朝阳,京朝办事处南出口,全方向,幸福村中路,,,自建电视
150,150,朝阳,京朝春秀路交通银行,全方向,春秀路,,,自建电视
151,151,朝阳,沸腾鱼乡,全方向,春秀路,,,自建电视
152,152,朝阳,京朝白家庄路西口,全方向,三里屯南路,白家庄路,,自建电视
153,153,朝阳,竹林小餐对面,全方向,南三里屯路,工人体育场南路,,自建电视
154,154,朝阳,中纺里大院门口,全方向,工体南路,,,自建电视
155,155,朝阳,兆龙饭店,全方向,工体北路,,,自建电视
156,156,朝阳,德云社门口,全方向,工体北路,,,自建电视
157,157,朝阳,中国红街邮政储蓄银行,全方向,工体北路,,,自建电视
158,158,朝阳,长虹桥西南角,全方向,东三环北路,,,自建电视
159,159,朝阳,工体西路光彩国际西门,全方向,工人体育场西路,,,自建电视
160,160,朝阳,工体西路南口,全方向,工人体育场西路,,,自建电视
161,161,朝阳,工体西门,全方向,工人体育场西路,,,自建电视
162,162,朝阳,工体西路唐会门口,全方向,工人体育场西路,,,自建电视
163,163,朝阳,工体西路鹿港小镇,全方向,工人体育场西路,,,自建电视
164,164,朝阳,中国红街那披萨门前,全方向,工人体育场东路,,,自建电视
165,165,朝阳,朝阳医院路口,全方向,工人体育场东路,,,自建电视
166,166,朝阳,工体东门,全方向,工人体育场东路,,,自建电视
167,167,朝阳,京朝白西路东口,全方向,东三环北路,白家庄路,,自建电视
168,168,密云,鼓楼西大街西段南侧60米,西向东,,鼓楼西大街,,自建固定式
169,169,密云,鼓楼西大街中段南侧320米,西向东,,鼓楼西大街,,自建固定式
170,170,密云,鼓楼东大街中段南侧120米,西向东,,鼓楼东大街,,自建固定式
171,171,密云,鼓楼东大街中段南侧470米,西向东,,鼓楼东大街,,自建固定式
172,172,密云,鼓楼东大街中段南侧730米,西向东,,鼓楼东大街,,自建固定式
173,173,密云,鼓楼东大街中段南侧1000米,西向东,,鼓楼东大街,,自建固定式
174,174,密云,鼓楼东大街东段南侧1320米,西向东,,鼓楼东大街,,自建固定式
175,175,密云,鼓楼西大街中段北侧260米,东向西,,鼓楼西大街,,自建固定式
176,176,密云,鼓楼东大街西段北侧595米,东向西,,鼓楼东大街,,自建固定式
177,177,密云,鼓楼东大街中段北侧900米,东向西,,鼓楼东大街,,自建固定式
178,178,密云,鼓楼东大街中段北侧1295米,东向西,,鼓楼东大街,,自建固定式
179,179,密云,鼓楼东大街中段北侧1480米,东向西,,鼓楼东大街,,自建固定式
180,180,密云,鼓楼东大街东段北侧1850米,东向西,,鼓楼东大街,,自建固定式
181,181,密云,鼓楼东大街东段北侧2000米,东向西,,鼓楼东大街,,自建固定式
182,182,密云,鼓楼北大街南段东侧15米,南向北,,鼓楼北大街,,自建固定式
183,183,密云,鼓楼北大街中段东侧270米,南向北,,鼓楼北大街,,自建固定式
184,184,密云,鼓楼北大街中段西侧185米,北向南,,鼓楼北大街,,自建固定式
185,185,密云,鼓楼北大街北段西侧730米,北向南,,鼓楼北大街,,自建固定式
186,186,密云,司马台景区收费口西路段,东向西,,马北路,,自建固定式
187,187,密云,司马台景区大桥西头,西向东,,马北路,,自建固定式
188,188,延庆,延琉路吴坊营西口,东向西,机场专用道,延琉路,,自建固定式
189,189,延庆,延琉路吴坊营西口,西向东,机场专用道,延琉路,,自建固定式
190,190,延庆,高塔街（香水苑小区南门至劳动局路口段）,东西双向,高塔路,,,自建卡口
191,191,延庆,庆园街（大城堡北门至地税局路口段）,东西双向,庆园街,,,自建卡口
