,序号,区县,名称,检测、行驶方向,相交道路,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,48,大兴,黄亦路104路口,全方向,104国道,黄亦路,电视监控,自建
1,49,大兴,清源路西芦村口,全方向,西芦村口,清源路,电视监控,自建
2,50,大兴,新源大街与永大路路口,全方向,新源大街,永大路,电视监控,自建
3,51,大兴,新源大街与魏永路路口,全方向,新源大街,魏永路,电视监控,自建
4,52,大兴,新源大街与永旺路路口,全方向,新源大街,永旺路,电视监控,自建
5,53,大兴,新源大街与庆丰路路口,全方向,新源大街,庆丰路,电视监控,自建
6,54,大兴,黄亦路广阳大街口,全方向,广阳大街,黄亦路,电视监控,自建
7,55,大兴,黄马路K1+400m处,全方向, ,黄马路,电视监控,自建
8,56,大兴,黄马路K1+200m处,全方向, ,黄马路,电视监控,自建
9,57,大兴,兴业路枣园路口东北角,全方向,兴业路,枣园路,电视监控,自建
10,58,大兴,兴业路清源北路西南角,全方向,兴业路,清源北路,电视监控,自建
11,59,大兴,兴业路丽园路口西北角,全方向,兴业路,丽园路,电视监控,自建
12,60,大兴,兴业路三中西巷路口东北角,全方向,兴业路,三中西巷,电视监控,自建
13,61,大兴,兴丰大街与红楼西巷,全方向,兴丰大街,红楼西巷,电视监控,自建
14,62,大兴,康庄南巷与丽园路口,全方向,康庄南巷,丽园路,电视监控,自建
15,63,大兴,兴盛街与枣园路口,全方向,兴盛街,枣园路,电视监控,自建
16,64,大兴,黄亦路k11+400米处,全方向,金星派出所西侧路,黄亦路,电视监控,自建
17,65,大兴,南中轴路与海鑫路交口,东向西,南中轴路,海鑫路,闯红灯,自建
18,66,大兴,南中轴路与海鑫路交口,西向东,南中轴路,海鑫路,闯红灯,自建
19,67,大兴,南中轴路与海鑫路交口,南向北,南中轴路,海鑫路,闯红灯,自建
20,68,大兴,南中轴路与海鑫路交口,北向南,南中轴路,海鑫路,闯红灯,自建
21,69,大兴,南中轴路与桂郭路交口,东向西,南中轴路,盛顺街,闯红灯,自建
22,70,大兴,南中轴路与桂郭路交口,西向东,南中轴路,盛顺街,闯红灯,自建
23,71,大兴,南中轴路与桂郭路交口,南向北,南中轴路,盛顺街,闯红灯,自建
24,72,大兴,南中轴路与桂郭路交口,北向南,南中轴路,盛顺街,闯红灯,自建
25,73,大兴,南中轴路与海鑫北路交口,东向西,南中轴路,海鑫北路,闯红灯,自建
26,74,大兴,南中轴路与海鑫北路交口,西向东,南中轴路,海鑫北路,闯红灯,自建
27,75,大兴,南中轴路与龙海路交口,南向北,南中轴路,龙海路,闯红灯,自建
28,76,大兴,南中轴路与龙海路交口,北向南,南中轴路,龙海路,闯红灯,自建
29,77,大兴,青礼路与安采路交口,东向西,青礼路,安采路,闯红灯,自建
30,78,大兴,青礼路与安采路交口,西向东,青礼路,安采路,闯红灯,自建
31,79,大兴,青礼路与安采路交口,南向北,青礼路,安采路,闯红灯,自建
32,80,大兴,青礼路与安采路交口,北向南,青礼路,安采路,闯红灯,自建
33,81,大兴,黄徐路与安定政府路交口,东向西,安定政府路,黄徐路,闯红灯,自建
34,82,大兴,黄徐路与安定政府路交口,南向北,安定政府路,黄徐路,闯红灯,自建
35,83,大兴,高徐路与外环路交口,南向北,高徐路,外环路,闯红灯,自建
36,84,大兴,高徐路与外环路交口,北向南,高徐路,外环路,闯红灯,自建
37,85,大兴,高徐路与郑前路交口,南向北,高徐路,郑前路,闯红灯,自建
38,86,大兴,高徐路与郑前路交口,北向南,高徐路,郑前路,闯红灯,自建
39,87,大兴,高徐路与安采路交口,东向西,高徐路,安采路,闯红灯,自建
40,88,大兴,高徐路与安采路交口,西向东,高徐路,安采路,闯红灯,自建
41,89,大兴,高徐路与安采路交口,南向北,高徐路,安采路,闯红灯,自建
