,交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,序号,区县,名称,检测、行驶方向,相交道路,
1,1,朝阳,老君堂中路与康化路交叉口,北向南,老君堂中路,康化路
2,2,朝阳,老君堂中路与康化路交叉口,东向西,老君堂中路,康化路
3,3,丰台,南三环玉泉营冷冻厂路口,全方向,三环辅路,
4,4,丰台,玉泉营冷冻厂北京果品公司,全方向,三环辅路,
5,5,丰台,蒲黄榆路与安乐林路交叉口,南向北,蒲黄榆路,安乐林路
6,6,房山,京昆高速33.5公里,进京,京昆高速,
7,7,房山,京昆高速33.5公里,出京,京昆高速,
8,8,通州,通顺路与新华大街路口北,北向南,通顺路,
9,9,昌平,回龙观西三旗桥东辅路西侧,全方向,G6东辅路,
10,10,昌平,回龙观东辅路西三旗桥北二百米路东,全方向,G6东辅路,
11,11,昌平,回龙观桥北侧东辅路路西,全方向,G6东辅路,
12,12,昌平,回龙观高速9A出口东辅路路西,全方向,G6东辅路,
13,13,昌平,回龙观过街天桥北侧东辅路路西,全方向,G6东辅路,
14,14,昌平,回龙观中化道达尔加油站东南侧,全方向,二拨子村无名路,
15,15,昌平,回龙观北京农村商业银行,全方向,回龙观桥匝道,
16,16,昌平,回龙观中国石化第十二加油站南出口,全方向,G6西辅路,
17,17,昌平,回龙观黄平路北口西北角,全方向,黄平路,太平庄北街
18,18,昌平,回龙观建材城东门十字路口西北侧,全方向,G6西辅路,
19,19,昌平,回龙观西三旗旧货市场南门西南侧,全方向,,建材城西路
20,20,昌平,回龙观吉晟别墅西北十字路口南侧,全方向,育知东路,黄土村路
21,21,昌平,龙园龙泽入口东辅路路西,全方向,G6东辅路,同成街
22,22,昌平,龙园北郊农场桥北入口,全方向,G6东辅路,
23,23,昌平,龙园高速东辅路京客隆超市北侧路西,全方向,G6东辅路,
24,24,昌平,龙园东辅路万家城路口路西,全方向,G6东辅路,
25,25,昌平,龙园城北交易市场路口东辅路西侧,全方向,G6东辅路,华北电力大学南街
26,26,昌平,龙园回龙观西大街美廉美超市,全方向,育知西路,回龙观西大街
27,27,昌平,龙园龙禧二街物美超市对面,全方向,龙禧二街,
28,28,昌平,龙园育知西路首开集团,全方向,育知西路,
29,29,昌平,龙园回龙观西大街回龙观尾货北侧,全方向,回龙观西大街,
30,30,昌平,龙园育知西路三合商厦十字路口,全方向,育知西路,龙禧二街
31,31,昌平,龙园回龙观西大街良庄商厦南侧,全方向,回龙观西大街,
32,32,昌平,龙园回龙观西大街时代广场南侧,全方向,回龙观西大街,
33,33,昌平,龙园同成街龙泽城铁北侧,全方向,同成街,
34,34,昌平,龙园同成街回龙观城铁桥东侧,全方向,同成街,
35,35,昌平,龙园霍营城铁对面五百米,全方向,科星西路,龙跃街
36,36,昌平,龙园回龙观公园东南门,全方向,龙禧三街,
37,37,昌平,龙园鑫地市场南门,全方向,龙腾街,
38,38,昌平,龙园鑫地市场西门,全方向,文华西路,
39,39,昌平,龙园龙华园市场北门,全方向,育知西路,回龙观西大街
40,40,昌平,龙园回龙观中学南门对面,全方向,龙禧三街,
41,41,昌平,龙园昌平二中分校,全方向,文华东路,龙跃街
42,42,昌平,龙园昌平试验小学,全方向,育知路,
43,43,昌平,龙园昌平第二试验小学,全方向,育知东路,龙腾街
44,44,昌平,龙园高速东辅路京客隆加油站,全方向,龙禧三街,
45,45,昌平,龙园育知路618总站加气站,全方向,育知路,
46,46,昌平,龙园城北交易市场东门马家地入口一,全方向,七小路,
47,47,昌平,龙园马家地入口二,全方向,七小路,华北电力大学南街
48,48,昌平,龙园站前街马连店入口一,全方向,文华路,龙禧二街
49,49,昌平,龙园龙锦苑二区入口一,全方向,科星西路,龙锦二街
50,50,昌平,龙园回龙观西大街矩阵十字路口,全方向,科星西路,回龙观西大街
51,51,昌平,龙园龙禧三街矩阵十字路口,全方向,科星西路,龙锦三街
52,52,昌平,龙园同成街回龙观城铁桥西侧,全方向,育知东路,同成街
53,53,昌平,龙园育知西路大中电器路口,全方向,育知西路,
54,54,昌平,史各庄北农路路口东辅路西侧,全方向,G6东辅路,北农路
55,55,昌平,史各庄朱辛庄村路口东辅路西侧,全方向,G6东辅路,朱辛庄路
56,56,昌平,史各庄老中学路口东辅路西侧,全方向,G6东辅路,
57,57,昌平,史各庄桥引桥南侧路口东一百米,全方向,G6东辅路,
58,58,昌平,史各庄定泗桥南引桥东辅路西侧,全方向,G6东辅路,
59,59,昌平,史各庄定泗桥北引桥东辅路西侧,全方向,G6东辅路,
60,60,昌平,史各庄碧水庄园正门东辅路西侧,全方向,G6东辅路,
61,61,昌平,史各庄碧水庄园北门东辅路东侧,全方向,G6东辅路,
62,62,昌平,史各庄定福皇庄北村口西辅路西侧,全方向,G6东辅路,
63,63,昌平,马池口高速服务区加油站东侧辅路西,全方向,G6东辅路,
64,64,昌平,马池口白浮南桥南侧东辅路西侧,全方向,G6东辅路,
65,65,昌平,马池口白浮北桥三岔路口东辅路西侧,全方向,G6东辅路,
66,66,昌平,马池口红冶钢厂宿舍南门,全方向,,昌流路
67,67,昌平,马池口车辆管理所京北分所南门,全方向,,满白路
68,68,昌平,沙河南一村过街天桥东辅路东侧,全方向,G6东辅路,安济桥路
