,序号,区县,设置地点,方向,相交道路,Unnamed: 5
0,1,朝阳,五环路北苑桥东,内环,五环路,
1,2,朝阳,五环路北苑桥西天桥,外环,五环路,
2,3,朝阳,五环路平房桥北,内环,五环路,
3,4,朝阳,五环路平房桥北,外环,五环路,
4,5,朝阳,五环路化工桥,内环,五环路,
5,6,朝阳,五环路化工桥,外环,五环路,
6,7,朝阳,五环路五元桥南,外环,五环路,
7,8,朝阳,五环路五元桥南,内环,五环路,
8,9,朝阳,五环路五方桥北,外环,五环路,
9,10,朝阳,五环路五方桥北,内环,五环路,
10,11,朝阳,五环路白家楼桥南,外环,五环路,
11,12,朝阳,五环路白家楼桥南,内环,五环路,
12,13,朝阳,京承高速酸枣岭桥南过街天桥,南向北,京承高速,
13,14,朝阳,京承高速酸枣岭桥南过街天桥,北向南,京承高速,
14,15,朝阳,京哈高速黑庄户桥,东向西,京哈高速,
15,16,朝阳,京哈高速田府二桥,西向东,京哈高速,
16,17,朝阳,京沪高速马驹桥北,南向北,京沪高速,
17,18,朝阳,京沪高速马驹桥北,北向南,京沪高速,
18,19,大兴,六环路新立东桥,内环,六环路,
19,20,大兴,六环路新立东桥,外环,六环路,
20,21,大兴,六环路北辛屯桥,内环,六环路,
21,22,大兴,六环路北辛屯桥,外环,六环路,
22,23,大兴,芦求路罗奇营桥北,南向北,芦求路,
23,24,大兴,芦求路罗奇营桥北辅路,南向北,芦求路,
24,25,大兴,芦求路罗奇营桥北,北向南,芦求路,
25,26,大兴,新源大街盛源桥北,南向北,新源大街,
26,27,大兴,新源大街盛源桥北,北向南,新源大街,
27,28,大兴,京台高速青云店收费站南,南向北,京台高速,
28,29,大兴,京台高速青云店收费站南,北向南,京台高速,
29,30,大兴,黄马路刘村路口,东向西,黄马路,团桂路
30,31,大兴,黄马路刘村路口,西向东,黄马路,团桂路
31,32,大兴,104国道南大红门桥北,南向北,104国道,
32,33,大兴,104国道南大红门桥北,北向南,104国道,
33,34,大兴,南中轴路与中鼎路交叉口,南向北,南中轴路,中鼎路
34,35,大兴,南中轴路与中鼎路交叉口,北向南,南中轴路,中鼎路
35,36,大兴,京开高速双源桥北天桥,南向北,京开高速,
36,37,大兴,京开高速双源桥北天桥,北向南,京开高速,
37,38,大兴,黄马路大兴桥下,东向西,黄马路,
38,39,大兴,林校北路大兴桥下,西向东,林校北路,
39,40,大兴,黄良路与天贵大街交叉口,西向东,黄良路,天贵大街
40,41,大兴,黄马路磁各庄桥东,东向西,黄马路,
41,42,大兴,黄良路与左堤路交叉口西,西向东,黄良路,左堤路
42,43,大兴,黄良路与左堤路交叉口西,东向西,黄良路,左堤路
43,44,昌平,六环路楼自庄桥,外环,六环路,
44,45,昌平,六环路楼自庄桥,内环,六环路,
45,46,昌平,六环路阳坊镇桥,内环,六环路,
46,47,昌平,六环路阳坊镇桥,外环,六环路,
47,48,昌平,六环路火寺路出口西,内环,六环路,
48,49,昌平,六环路火寺路出口东,外环,六环路,
49,50,昌平,六环路孟祖桥,外环,六环路,
50,51,昌平,六环路孟祖桥,内环,六环路,
51,52,昌平,沙阳路东贯市东路口西,西向东,沙阳路,东贯市东路
52,53,昌平,沙阳路东贯市东路口西辅路,西向东,沙阳路,东贯市东路
53,54,昌平,沙阳路东贯市东路口西,东向西,沙阳路,东贯市东路
54,55,昌平,沙阳路东贯市东路口西辅路,东向西,沙阳路,东贯市东路
55,56,昌平,京藏高速西沙桥,南向北,京藏高速辅路,
56,57,昌平,京藏高速西沙桥,北向南,京藏高速辅路,
57,58,昌平,京藏高速西沙桥,南向北,京藏高速主路,
58,59,昌平,京藏高速西沙桥,北向南,京藏高速主路,
59,60,昌平,顺沙路百葛桥信号灯路口,东向西,顺沙路,
60,61,昌平,顺沙路百葛桥信号灯路口,西向东,顺沙路,
61,62,昌平,回昌路北六环南口,南向北,回昌路,
62,63,昌平,回昌路北六环南口辅路,南向北,回昌路,
63,64,昌平,回昌路北六环南口,北向南,回昌路,
64,65,昌平,回昌路北六环南口辅路,北向南,回昌路,
65,66,昌平,顺沙路与南百路口北,南向北,顺沙路,南百路
66,67,昌平,顺沙路与南百路口北,北向南,顺沙路,南百路
67,68,昌平,顺沙路北六环百善高速口,东向西,顺沙路,
68,69,昌平,顺沙路北六环百善高速口,西向东,顺沙路,
69,70,昌平,立汤路马坊北桥南,南向北,立汤路,
70,71,昌平,立汤路马坊北桥南辅路,南向北,立汤路,
71,72,昌平,立汤路马坊北桥南,北向南,立汤路,
72,73,昌平,立汤路马坊北桥南辅路,北向南,立汤路,
73,74,昌平,南丰路中央财经大学西门,南向北,南丰路,
74,75,昌平,南丰路中央财经大学西门,北向南,南丰路,
75,76,昌平,南丰路中央财经大学西门辅路,北向南,南丰路,
76,77,昌平,京新高速楼自庄桥南,南向北,京新高速,
77,78,昌平,京新高速楼自庄桥南,北向南,京新高速,
78,79,昌平,六环路酸枣岭桥西,外环,六环路,
79,80,昌平,六环路酸枣岭桥西,内环,六环路,
80,81,顺义,裕安路北六环桥南,北向南,裕安路,
81,82,顺义,裕安路北六环桥南,南向北,裕安路,
82,83,顺义,南陈路海洪桥南,北向南,南陈路,
83,84,顺义,南陈路海洪桥南,南向北,南陈路,
84,85,顺义,高白路西王路东桥南,北向南,高白路,
85,86,顺义,高白路西王路东桥南,南向北,高白路,
86,87,顺义,天北路方氏渠东桥南,北向南,天北路,
87,88,顺义,天北路方氏渠东桥南,南向北,天北路,
88,89,顺义,火寺路张喜庄桥南,北向南,火寺路,
89,90,顺义,火寺路张喜庄桥南,南向北,火寺路,
90,91,顺义,101国道六元桥南,北向南,101国道,
91,92,顺义,101国道六元桥南,南向北,101国道,
92,93,顺义,南焦路东杜兰桥,北向南,南焦路,
93,94,顺义,南焦路东杜兰桥,南向北,南焦路,
94,95,顺义,顺于路迎晨桥西,东向西,顺于路,
95,96,顺义,顺于路迎晨桥西辅路,东向西,顺于路,
96,97,顺义,顺于路迎晨桥西,西向东,顺于路,
97,98,顺义,顺于路迎晨桥西辅路,西向东,顺于路,
98,99,顺义,顺平路望泉桥西,东向西,顺平路,
99,100,顺义,顺平路望泉桥西辅路,东向西,顺平路,
100,101,顺义,顺平路望泉桥西,西向东,顺平路,
101,102,顺义,顺平路望泉桥西辅路,西向东,顺平路,
102,103,顺义,机场东路吴家营南桥南,南向北,机场东路,
103,104,顺义,机场东路吴家营南桥南,北向南,机场东路,
104,105,顺义,龙塘路龙苏路桥西,东向西,龙塘路,
105,106,顺义,龙塘路龙苏路桥西,西向东,龙塘路,
106,107,顺义,龙塘路龙苏路桥西辅路,西向东,龙塘路,
107,108,顺义,李天路南半壁店东口东,东向西,李天路,
108,109,顺义,李天路南半壁店东口东,西向东,李天路,
109,110,顺义,京平高速半壁店收费站东,西向东,京平高速,
110,111,顺义,京平高速吴各庄收费站东,东向西,京平高速,
111,112,房山,六环路下庄北桥,外环,六环路,
112,113,房山,六环路下庄北桥,内环,六环路,
113,114,房山,六环路阎村桥北,内环,六环路,
114,115,房山,六环路阎村桥北,外环,六环路,
115,116,房山,六环路刺猬河桥西,外环,六环路,
116,117,房山,六环路刺猬河桥西,内环,六环路,
117,118,房山,良坨路大苑村,南向北,良坨路,
118,119,房山,良坨路大苑村,北向南,良坨路,
119,120,房山,大件路紫草坞桥东,东向西,大件路,
120,121,房山,大件路紫草坞桥东,西向东,大件路,
121,122,房山,京周路澎湃桥,东向西,京周路,
122,123,房山,京周路澎湃桥,西向东,京周路,
123,124,房山,凯旋大街良园四路路口,北向南,凯旋大街,
124,125,房山,凯旋大街良园四路路口,南向北,凯旋大街,
125,126,房山,良官公路古兰东桥北,南向北,良官公路,
126,127,房山,良官公路古兰东桥北,北向南,良官公路,
127,128,房山,107国道葫芦垡桥北,南向北,107国道,
128,129,房山,107国道葫芦垡桥北,北向南,107国道,
129,130,房山,京港澳高速房山梨园桥北,南向北,京港澳高速,
130,131,房山,京港澳高速房山梨园桥北,北向南,京港澳高速,
131,132,丰台,五环路大羊坊桥西,外环,五环路,
132,133,丰台,五环路大羊坊桥西,内环,五环路,
133,134,丰台,五环路宛平桥南,外环,五环路,
134,135,丰台,五环路宛平桥南,内环,五环路,
135,136,丰台,五环路李营桥,内环,五环路,
136,137,丰台,五环路李营桥,外环,五环路,
137,138,丰台,五环路团河桥,内环,五环路,
138,139,丰台,五环路团河桥,外环,五环路,
139,140,丰台,五环路衙门口桥南天桥,内环,五环路,
140,141,丰台,五环路衙门口桥南天桥,外环,五环路,
141,142,丰台,京原路北宫路北口西,东向西,京原路,北宫路
142,143,丰台,京原路北宫路北口西,西向东,京原路,北宫路
143,144,丰台,大灰厂东路北宫桥东,东向西,大灰厂东路,
144,145,丰台,大灰厂东路北宫桥东,西向东,大灰厂东路,
145,146,丰台,大灰厂路下庄村北,南向北,大灰厂路,
146,147,丰台,大灰厂路下庄村北,北向南,大灰厂路,
147,148,丰台,魏各庄路西王佐南桥,东向西,魏各庄路,
148,149,丰台,魏各庄路西王佐南桥,西向东,魏各庄路,
