,序号,区县,名   称,方向,相交道路,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,1,东城,王府井大街,全方向,王府井大街,,,,,,,,
1,2,东城,鼓楼东大街3-1号东侧（交道口路口西北角3米处）,全方位,南：交道口南大街 北：安定门内大街,东：交道口东大街 西：鼓楼东大街,,,,,,,
2,3,东城,鼓楼东大街35号门前（东公街胡同南口东北角）,全方位,东公街胡同,鼓楼东大街,,,,,,,
3,4,东城,鼓楼东大街77号门前东侧（小经厂胡同南口西北角）,全方位,小经厂胡同,鼓楼东大街,,,,,,,
4,5,东城,鼓楼东大街109-1号门前（大经厂西巷南口西侧10米）,全方位,大经厂西巷,鼓楼东大街,,,,,,,
5,6,东城,鼓楼东大街北锣鼓巷胡同南口东侧（东北角）,全方位,北锣鼓巷,鼓楼东大街,,,,,,,
6,7,东城,鼓楼东大街179号门前（空军后勤部南门西侧10米）,全方位,鼓楼东大街,,,,,,,,
7,8,东城,鼓楼东大街宝钞胡同南口西侧（西北角）,全方位,宝钞胡同,鼓楼东大街,,,,,,,
8,9,西城,安康胡同与德外西后街东北,全方向,德外西后街,安康胡同,,,,,,,
9,10,西城,德外西后街中段（南）,全方向,德外西后街,德胜里南路,,,,,,,
10,11,西城,德胜里南路中段,全方向,德胜里南路,,,,,,,,
11,12,西城,德外西后街中段（北）,全方向,德外西后街,新德街南巷,,,,,,,
12,13,西城,新德街南巷,全方向,新德街南巷,,,,,,,,
13,14,西城,新德街南巷与德外西后街西南,西向东,德外西后街,新德街南巷,,,,,,,
14,15,西城,德胜里南路与德外西后街东北,东向西,德外西后街,德胜里南路,,,,,,,
15,16,西城,新德街南巷与德外西后街东南,南向北,德外西后街,新德街南巷,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
16,17,西城,安康胡同与德外西后街西南,东向西,德外西后街,安康胡同,,,,,,,
17,18,海淀,六环路老庙桥南天桥至周家巷加油站,内环,六环路,,,,,,,,
18,19,海淀,六环路周家巷加油站至老庙桥南天桥,外环,六环路,,,,,,,,
19,20,海淀,永丰路西山壹号院路口,南向北,永丰路,,,,,,,,
20,21,海淀,永丰路西山壹号院路口,北向南,永丰路,,,,,,,,
21,22,海淀,北坞村路与闵庄路交叉口南侧,北向南,北坞村路,闵庄路,,,,,,,
22,23,海淀,北坞村路与闵庄路交叉口南侧,南向北,北坞村路,闵庄路,,,,,,,
23,24,海淀,建村城西路与黄平路路口西侧,全方向,建村城西路,黄平路,,,,,,,
24,25,海淀,永泰庄北路与后屯路路口东侧,全方向,永泰庄北路,后屯路,,,,,,,
25,26,海淀,羊坊店第四小学门前,全方向,无名路,,,,,,,,
26,27,海淀,国家税务总局门前,全方向,无名路,,,,,,,,
27,28,海淀,花园桥桥下东天桥,东向西,车公庄西路,,,,,,,,
28,29,海淀,阜成路钓鱼台门口西天桥,东向西,阜成路,,,,,,,,
29,30,海淀,航天桥东天桥,西向东,阜成路,,,,,,,,
30,31,海淀,玉泉路北航医学院门前人行灯,南向北,玉泉路,,,,,,,,
31,32,海淀,玉渊潭南路与军博西路交叉口西,西向东,军博西路,玉渊潭南路,,,,,,,
32,33,海淀,莲花桥西,西向东,西三环,,,,,,,,
33,34,海淀,新兴桥南,南向北,西三环,,,,,,,,
34,35,海淀,北坞村路与闵庄路交叉口南侧,北向南,北坞村路,闵庄路,,,,,,,
35,36,海淀,北坞村路与闵庄路交叉口南侧,南向北,北坞村路,闵庄路,,,,,,,
36,37,海淀,马连洼北路,东向西,马连洼北路,,,,,,,,
37,38,海淀,马连洼北路,西向东,马连洼北路,,,,,,,,
38,39,海淀,北清路稻香湖路口东,东向西,北清路,,,,,,,,
39,40,海淀,北清路稻香湖路口东,西向东,北清路,,,,,,,,
40,41,海淀,圆明园西路与农大南路交叉口,南向北,圆明园西路,农大南路,,,,,,,
41,42,海淀,圆明园西路与农大南路交叉口,北向南,圆明园西路,农大南路,,,,,,,
42,43,海淀,永丰路与马连洼路北路交叉口,南向北,永丰路,马连洼路,,,,,,,
43,44,海淀,永丰路与马连洼北路路交叉口,北向南,永丰路,马连洼路,,,,,,,
44,45,海淀,永丰路金望泽花卉建材城路口,南向北,永丰路,,,,,,,,
45,46,海淀,后厂村路与西北旺二街交叉口,西向东,西北旺二街,后厂村路,,,,,,,
46,47,海淀,学府树中街与清河中街交叉口,西向东,学府树中街,清河中街,,,,,,,
47,48,海淀,索家坟小区南一门,全方向,文慧园斜街,,,,,,,,
48,49,海淀,明光东路政法大学南门,全方向,明光东路,,,,,,,,
49,50,海淀,北师大三附中南区,南向北,文慧园北路,文慧园路,,,,,,,
50,51,海淀,慧景路与文慧园北路路口西南侧,东向西,文慧园北路,慧景路,,,,,,,
51,52,海淀,北京文慧宾馆南侧,东向西,文慧园斜街,文慧园南路,,,,,,,
52,53,海淀,文慧园南路丁字路口处东南侧,西向东,文慧园南路,文慧园南路,,,,,,,
53,54,海淀,学府树北街与毛纺路口东侧,东向西,毛纺路,学府树北街,,,,,,,
54,55,海淀,学府树北街与朱房路北一街路口,东向西,朱房路北一街,学府树北街,,,,,,,
55,56,海淀,毛纺路与清河中街路口南侧,全方向,毛纺路,清河中街,,,,,,,
56,57,海淀,清河中街与学府树中街路口东南侧,全方向,学府树中街,清河中街,,,,,,,
57,58,海淀,学府树中街与清河中街路口北侧,北向南,学府树中街,清河中街,,,,,,,
58,59,海淀,清河中街与朱房路北一街路口东南侧,全方向,清河中街,朱房路北一街,,,,,,,
59,60,海淀,清河中街与朱房路北一街路口北侧,北向南,清河中街,朱房路北一街,,,,,,,
60,61,海淀,朱房路与安宁庄西路路口东侧信号,全方向,朱房路,安宁庄西路,,,,,,,
61,62,海淀,毛纺路与朱房路路口北侧,全方向,毛纺路,朱房路,,,,,,,
62,63,海淀,朱房路与学府树中街路口,东向西,朱房路,学府树中街,,,,,,,
63,64,海淀,建材城西路与黄平路路口西侧,全方向,后屯路,建材城西路,,,,,,,
64,65,海淀,永泰庄北路与后屯路路口东侧,全方向,后屯路,永泰庄北路,,,,,,,
