,序号,区县,名   称,方向,相交道路,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,1.0,东城,东直门内大街282号门前,全方向,东直门内大街,,,,,,
1,2.0,东城,东直门内大街238号门前,全方向,东直门内大街,,,,,,
2,3.0,东城,东直门内大街206号门前,全方向,东直门内大街,,,,,,
3,4.0,东城,东直门内大街152-6号门前,全方向,东直门内大街,,,,,,
4,5.0,东城,东直门内大街269号门前,全方向,东直门内大街,,,,,,
5,6.0,东城,东直门内大街277号门前,全方向,东直门内大街,,,,,,
6,7.0,东城,东直门内小街口,全方向,东直门北小街、东直门南小街,东直门内大街,,,,,
7,8.0,东城,王府井大街,全方向,王府井大街,,,,,,
8,9.0,东城,霞公府街,全方向,王府井大街、晨光街,霞公府街,,,,,
9,10.0,东城,王府井步行街南口,全方向,王府井大街,大纱帽胡同、东单三条,,,,,
10,11.0,东城,沙子口路10号门前,全方向,沙子口路,,,,,,
11,12.0,东城,沙子口路29号院北,全方向,沙子口路,,,,,,
12,13.0,东城,沙子口路44号院南,全方向,沙子口路,,,,,,
13,14.0,东城,沙子口路宝华里菜市场北,全方向,沙子口路,,,,,,
14,15.0,东城,沙子口路70号楼前,全方向,沙子口路,,,,,,
15,16.0,东城,沙子口路富祥家园东北门门前,全方向,沙子口路,,,,,,
16,17.0,东城,沙子口78号院北,全方向,沙子口路,,,,,,
17,18.0,东城,北京市食品工业研究所南,全方向,沙子口路,,,,,,
18,19.0,东城,北京市食品工业研究所北,全方向,沙子口路,,,,,,
19,20.0,东城,沙子口富祥家园北侧路东口,东南到西北,沙子口路,,,,,,
20,21.0,东城,沙子口富祥家园北侧路西口,东南到西北,沙子口路,,,,,,
21,22.0,西城,百万庄大街与北礼士路交叉口,南向北,百万庄大街,北礼士路,,,,,
22,23.0,西城,车公庄大街与北礼士路交叉口,北向南,车公庄大街,北礼士路,,,,,
23,24.0,朝阳,东坝中路与朝新大街交叉口,北向南,东坝中路,朝新大街,,,,,
24,25.0,朝阳,朝新大街与驹子房路交叉口,东向西,朝新大街,驹子房路,,,,,
25,26.0,朝阳,星火西路北站公交站路口,北向南,星火西路,,,,,,
26,27.0,朝阳,姚家园北路与星火西路交叉口,南向北,姚家园北路,星火西路,,,,,
27,28.0,朝阳,华辉苑北街西口,西向东,华辉苑北街,,,,,,
28,29.0,海淀,普惠西街北口,南向北,普惠西街,,,,,,
29,30.0,海淀,普惠西街南口,南向北,普惠西街,,,,,,
30,31.0,海淀,丹棱街681公交站东侧指路牌杆体（路南）,东西向,步行街,,,,,,
31,32.0,海淀,互联网金融中心停车场出口东侧,东西向,海淀东三街,,,,,,
32,33.0,海淀,海淀东三街与丹棱街交叉口西侧红绿灯（法院门口）,东西向,海淀中街,,,,,,
33,34.0,海淀,海淀东三街与丹棱街交叉口东南角,东西向,海淀东三街,,,,,,
34,35.0,海淀,海淀西街与丹棱街交叉口东南角,东西向,海淀西街,,,,,,
35,36.0,海淀,海淀西街与丹棱街交叉口西北角,东西向,海淀西街,,,,,,
36,37.0,海淀,丹棱街与彩和坊路西侧交通杆1,东西向,彩和坊路,,,,,,
37,38.0,海淀,丹棱街与彩和坊路西侧交通杆2,东西向,彩和坊路,,,,,,
38,39.0,海淀,善缘街T10015,东西向,海淀中街,,,,,,
39,40.0,海淀,善缘街T20014,东西向,海淀东三街,,,,,,
40,41.0,海淀,善缘街T20019,东西向,海淀西街,,,,,,
41,42.0,海淀,善缘街T10012,东西向,海淀东三街,,,,,,
42,43.0,海淀,善缘街T10020,东西向,彩和坊路,,,,,,
43,44.0,海淀,善缘街T10009,东西向,海淀大街,,,,,,
44,45.0,海淀,家乐福东（路南）,南北向 ,海淀东一街,,,,,,
45,46.0,海淀,海淀北二街与善缘街交叉口南侧过街天桥下,南北向 ,海淀北二街,善缘街,,,,,
46,47.0,海淀,善缘街T10004,南北向 ,海淀北二街,,,,,,
47,48.0,海淀,善缘街路与海淀北一街交叉口东南角,南北向 ,海淀北一街,,,,,,
48,49.0,海淀,四通大厦门口,东西向 ,冰窖胡同,,,,,,
49,50.0,海淀,海淀大街与善缘街交叉口西北角,东西向 ,善缘街,,,,,,
50,51.0,海淀,海淀大街与善缘街交叉口西南角,东西向 ,善缘街,,,,,,
51,52.0,海淀,海淀大街与海淀中街交叉口西北角,东西向 ,海淀中街,,,,,,
52,53.0,海淀,海淀大街与海淀中街交叉口东南角,东西向 ,海淀中街,,,,,,
53,54.0,海淀,海淀大街与海淀西街东南角,东西向 ,海淀西街,,,,,,
54,55.0,海淀,海淀大街与彩和坊路交叉口东南角,东西向 ,彩和坊路,,,,,,
55,56.0,海淀,海淀大街与彩和坊路交叉口西北角,东西向 ,彩和坊路,,,,,,
56,57.0,海淀,海淀中街与海淀二街交叉口东北角,南北向 ,海淀二街,,,,,,
57,58.0,海淀,海淀中街与海淀一街交叉口西南角,南北向 ,海淀一街,,,,,,
58,59.0,海淀,海淀中街与海淀大街交叉口东南角,南北向 ,海淀大街,,,,,,
59,60.0,海淀,海淀中街与善缘街交叉口西南角,南北向 ,善缘街,,,,,,
60,61.0,海淀,海淀中街与丹棱街交叉口东北角,南北向 ,丹棱街,,,,,,
61,62.0,海淀,海淀中街与丹棱街交叉口西南角,南北向 ,丹棱街,,,,,,
62,63.0,海淀,海淀中街T10001,南北向 ,通惠寺街,,,,,,
63,64.0,海淀,海淀中街T20006,南北向 ,通惠寺街,,,,,,
64,65.0,丰台,丽泽桥西,东向西,丰北路,,,,,,
65,66.0,丰台,万丰桥西,西向东,丰北路,,,,,,
66,67.0,大兴,京开西辅路与黄村东大街路口,西向东,京开辅路,黄村东大街,,,,,
67,68.0,大兴,青礼路与后堡路交口,北向南,青礼路,后堡路,,,,,
68,69.0,大兴,青礼路与后堡路交口,东向西,青礼路,后堡路,,,,,
69,70.0,大兴,黄徐路与安采路交口,西向东,黄徐路,安采路,,,,,
70,71.0,大兴,黄徐路与安采路交口,南向北,黄徐路,安采路,,,,,
71,72.0,大兴,黄徐路与安采路交口,北向南,黄徐路,安采路,,,,,
72,73.0,大兴,孙垡路与中水渠路交口,北向南,孙垡路,中水渠路,,,,,
73,74.0,大兴,孙垡路与赵大路交口,北向南,孙垡路,赵大路,,,,,
74,75.0,大兴,东大路与东礼路交口,东向西,东大路,东礼路,,,,,
75,76.0,大兴,东大路与东礼路交口,西向东,东大路,东礼路,,,,,
