,序号,区县,名   称,方向,相交道路,Unnamed: 5
0,1,东城,大羊宜宾胡同西口,东向西,朝阳门南小街,大羊宜宾胡同
1,2,东城,赵堂子胡同西口,东向西,朝阳门南小街,赵堂子胡同
2,3,东城,沙子口宣祥家园北侧路东口,东向西,沙子口路,沙子口宣祥家园北侧路
3,4,东城,沙子口宣祥家园北侧路西口,东向西,永定门外大街,沙子口宣祥家园北侧路
4,5,朝阳,建国路传媒大学南门,东向西,建国路,
5,6,朝阳,京通快速路城铁传媒大学站,东向西,京通快速路,
6,7,朝阳,八里庄路八里庄西里101号楼东北角处,南向北,八里庄路,
7,8,朝阳,八里庄路八里庄西里101号楼东北角处,北向南,八里庄路,
8,9,朝阳,北京朝阳医院西门南,南向北,东大桥斜街,
9,10,朝阳,北京朝阳医院西门南,北向南,东大桥斜街,
10,11,朝阳,北京朝阳医院西门南150米,北向南,东大桥斜街,
11,12,朝阳,京朝奥园景观大道与场北路交叉口2,全方向,景观大道,国家体育场北路
12,13,朝阳,京朝奥园国家会议中心东门区4,全方向,天辰东路,
13,14,朝阳,京朝奥园奥运塔南侧,全方向,科荟南路,
14,15,朝阳,京朝奥园景观大道科荟南路口,全方向,科荟南路,
15,16,朝阳,京朝奥园国家会议中心西门区2,全方向,国家体育场北路,
16,17,朝阳,京朝奥园国家会议中心西门区3,全方向,国家体育场北路,
17,18,朝阳,京朝奥园国家会议中心西北侧1,全方向,国家体育场北路,
18,19,朝阳,京朝奥园国家会议中心西北侧2,全方向,国家体育场北路,
19,20,朝阳,京朝奥园北辰西大屯路1,全方向,国家体育场北路,
20,21,朝阳,京朝奥园国家会议中心东南侧1,全方向,天辰东路,
21,22,朝阳,京朝奥园国家会议中心东门区1,全方向,天辰东路,
22,23,朝阳,京朝奥园北辰西大屯路1,全方向,大屯路,
23,24,朝阳,京朝奥园北辰西大屯路2,全方向,大屯路,
24,25,朝阳,京朝奥园北辰西大屯路3,全方向,大屯路,
25,26,朝阳,京朝奥园天辰西大屯路1,全方向,大屯路,
26,27,朝阳,京朝奥园天辰西大屯路2,全方向,大屯路,
27,28,朝阳,京朝奥园国际会议中心北侧1,全方向,大屯路,
28,29,朝阳,京朝奥园国际会议中心北侧2,全方向,大屯路,
29,30,朝阳,京朝科荟路东口路北侧,全方向,北辰东路,
30,31,朝阳,京朝科荟路东口路南侧,全方向,北辰东路,
31,32,朝阳,京朝科荟南路西口路北南侧,全方向,科荟南路,
32,33,朝阳,京朝科荟南路西口路南北侧,全方向,科荟南路,
33,34,朝阳,京朝科荟南路天辰西口北,全方向,科荟南路,
34,35,朝阳,京朝科荟南路天辰西口南,全方向,科荟南路,
35,36,朝阳,京朝科荟南路天辰东口北,全方向,科荟南路,
36,37,朝阳,京朝科荟南路湖景路西口,全方向,科荟南路,
37,38,朝阳,京朝科荟南路湖景路西口南,全方向,科荟南路,
38,39,朝阳,京朝科荟南路湖景路东北口,全方向,科荟南路,
39,40,朝阳,京朝科荟南路东口路北侧,全方向,科荟南路,
40,41,朝阳,京朝科荟南路东口路路南北,全方向,科荟南路,
41,42,朝阳,京朝大屯北路西口路南,全方向,大屯北路,
42,43,朝阳,京朝大屯北路西口路北,全方向,大屯北路,
43,44,朝阳,京朝大屯北路天辰西口北,全方向,大屯北路,
44,45,朝阳,京朝大屯北路天辰西口南,全方向,大屯北路,
45,46,朝阳,京朝科荟南路湖景东路口,全方向,大屯北路,
46,47,朝阳,京朝大屯北路东口路北侧,全方向,大屯北路,
47,48,朝阳,京朝大屯北路东口路南侧,全方向,大屯北路,
48,49,朝阳,京朝大屯路东口路北侧,全方向,大屯路,
49,50,朝阳,京朝奥园南园景观大道北口路东西侧,全方向,国家体育场北路,
50,51,朝阳,京朝奥园北园景观大道南口,全方向,国家体育场北路,
51,52,朝阳,京朝奥园湖景西场北路口,全方向,国家体育场北路,
52,53,朝阳,京朝奥园湖景东路场北路口西侧,全方向,湖景东路,
53,54,朝阳,京朝奥园场北路湖景西口北,全方向,国家体育场北路,
54,55,朝阳,京朝奥园湖景东路场北路口东侧,全方向,湖景东路,
55,56,朝阳,京朝奥园场北路湖景东车辆出口,全方向,国家体育场北路,
56,57,朝阳,京朝奥园湖景东场北路东侧自立杆,全方向,国家体育场北路,
57,58,朝阳,京朝奥园1号安检口东侧,全方向,国家体育场北路,
58,59,朝阳,京朝奥园场北路西口南侧,全方向,国家体育场北路,
59,60,朝阳,京朝奥园一号安检口外,全方向,北辰东路,
60,61,朝阳,京朝奥园科技馆东北角,全方向,北辰东路,
61,62,朝阳,京朝奥园科技馆东南角,全方向,北辰东路,
62,63,朝阳,京朝奥园科技馆东门,全方向,北辰东路,
63,64,朝阳,京朝奥园3号安检口北侧,全方向,北辰路,
64,65,朝阳,京朝奥园名族大道西侧名族花1,全方向,北辰路,
65,66,朝阳,京朝奥园名族大道西侧名族花2,全方向,北辰路,
66,67,朝阳,京朝春秋鉴西侧,全方向,北辰路,
67,68,朝阳,京朝春秋鉴东侧,全方向,北辰路,
68,69,朝阳,京朝阙台西北侧,全方向,北辰路,
69,70,朝阳,京朝阙台西南侧,全方向,北辰路,
70,71,朝阳,京朝奥园名族大道西侧名族花3,全方向,北辰路,
71,72,朝阳,京朝阙台东南侧,全方向,北辰路,
